epoch,plain,warmup
265,0.815240,0.805064
266,0.795436,0.809086
267,0.795446,0.810099
268,0.799950,0.814245
269,0.788224,0.814328
270,0.787256,0.816190
271,0.799663,0.818102
272,0.804917,0.821850
273,0.803172,0.818290
274,0.809275,0.824514
275,0.810306,0.829467
276,0.821336,0.826839
277,0.827586,0.823676
278,0.833460,0.824277
279,0.816102,0.820434
280,0.823660,0.825395
281,0.828912,0.833558
282,0.830514,0.836159
283,0.820735,0.833590
284,0.811640,0.839831
285,0.820429,0.843280
286,0.820348,0.849811
287,0.827477,0.851944
288,0.806603,0.850691
289,0.804494,0.843539
290,0.805654,0.848819
291,0.810741,0.852033
292,0.808968,0.848946
293,0.802415,0.845728
294,0.807226,0.851534
295,0.803616,0.855516
296,0.805963,0.859586
297,0.807207,0.860670
298,0.815177,0.860360
299,0.811219,0.863840
300,0.813773,0.847345
301,0.805092,0.848363
302,0.809502,0.844518
303,0.819876,0.843274
304,0.825140,0.845417
305,0.833026,0.837843
306,0.835923,0.842417
307,0.839776,0.846776
308,0.840793,0.843811
309,0.840962,0.832972
310,0.847353,0.836625
311,0.841973,0.833305
312,0.843236,0.836443
313,0.845685,0.843089
314,0.839760,0.846890
315,0.829057,0.842246
316,0.821397,0.837048
317,0.827308,0.837278
318,0.819074,0.835432
319,0.819278,0.830772
320,0.825406,0.830127
321,0.831442,0.827541
322,0.836333,0.825163
323,0.837396,0.835228
324,0.841421,0.835520
325,0.834323,0.824271
326,0.837996,0.829495
327,0.845158,0.835705
328,0.827167,0.837875
329,0.829060,0.828243
330,0.825377,0.818643
331,0.817140,0.821021
332,0.797446,0.826720
333,0.801927,0.830672
334,0.794673,0.834103
335,0.794336,0.829034
336,0.797543,0.839522
337,0.804230,0.844211
338,0.793270,0.848159
339,0.801693,0.846124
340,0.796660,0.848254
341,0.799991,0.850549
342,0.803337,0.858416
343,0.798839,0.858961
344,0.788748,0.851045
345,0.795620,0.846383
346,0.802226,0.851626
347,0.805749,0.847940
348,0.811016,0.842104
349,0.803974,0.830967
350,0.809680,0.833403
351,0.813513,0.835877
352,0.815634,0.837703
353,0.819623,0.832004
354,0.825541,0.824498
355,0.827928,0.833053
356,0.832239,0.834103
357,0.826031,0.837638
358,0.818056,0.830035
359,0.819639,0.834188
360,0.812807,0.840426
361,0.814253,0.848838
362,0.819800,0.848826
363,0.815304,0.850525
364,0.818711,0.852059
365,0.821518,0.852523
366,0.823754,0.853007
367,0.822194,0.853021
368,0.824031,0.854778
369,0.832142,0.859503
370,0.824532,0.855252
371,0.829446,0.858627
372,0.834088,0.862253
373,0.836236,0.865875
374,0.840641,0.856289
375,0.840378,0.853142
